player,season,weeks_played,avg_hits,min_hits,max_hits,std_hits,p_hit_all_weeks,p_hit_half_or_more
Christian Kirk,2018,7,0.046,0,1,0.2094850830011531,0.0,0.0
Christian Kirk,2019,10,1.036,1,2,0.18629009635512025,0.0,0.0
Christian Kirk,2020,7,1.996,1,3,0.08935323161475471,0.0,0.002
Christian Kirk,2021,9,2.059,0,4,0.5436165928299098,0.0,0.006
Christian Kirk,2022,12,3.011,1,6,0.5940361941834857,0.0,0.001
Christian Kirk,2023,8,0.812,0,3,0.588774999469237,0.0,0.0
Christian Kirk,2024,3,0.53,0,1,0.4990991885387111,0.0,0.53
Christian Watson,2022,7,4.284,3,5,0.45535041451611746,0.0,1.0
Christian Watson,2023,4,1.999,1,2,0.03160696125855822,0.0,0.999
Christian Watson,2024,4,0.023,0,1,0.14990330216509576,0.0,0.0
Cody Latimer,2017,1,0.0,0,0,0.0,0.0,1.0
Cody Latimer,2018,1,1.0,1,1,0.0,1.0,1.0
Cody Latimer,2019,2,0.805,0,1,0.3962007067131507,0.0,0.805
Cole Beasley,2017,5,1.977,1,2,0.14990330216509576,0.0,0.977
Cole Beasley,2018,8,2.0,2,2,0.0,0.0,0.0
Cole Beasley,2019,9,2.162,1,5,0.4957378339404811,0.0,0.014
Cole Beasley,2020,8,2.415,2,5,0.6023080607131204,0.0,0.056
Cole Beasley,2021,7,1.089,0,2,0.383508800420538,0.0,0.0
Collin Johnson,2020,2,1.036,1,2,0.18629009635512025,0.036,1.0
Cooper Kupp,2017,10,2.788,1,5,0.9105251232118748,0.0,0.023
Cooper Kupp,2018,4,2.946,2,3,0.22601769842204839,0.0,1.0
Cooper Kupp,2019,9,4.66,3,6,0.5553377350765928,0.0,0.994
Cooper Kupp,2020,12,1.734,0,4,0.6908284881213281,0.0,0.0
Cooper Kupp,2021,13,10.726,7,13,1.0406363437820147,0.032,1.0
Cooper Kupp,2022,6,4.855,3,5,0.35773593613166677,0.0,1.0
Cooper Kupp,2023,8,2.275,1,5,0.5323297850017412,0.0,0.03
Cooper Kupp,2024,6,2.806,1,5,0.7171917456301348,0.0,0.651
Corey Coleman,2017,4,0.747,0,1,0.4347309512790641,0.0,0.0
Corey Davis,2017,5,0.012,0,1,0.1088852607105296,0.0,0.0
Corey Davis,2018,8,2.125,2,3,0.33071891388307384,0.0,0.0
Corey Davis,2019,7,1.993,1,2,0.08337265738837883,0.0,0.0
Corey Davis,2020,6,3.275,2,5,0.4575751304430782,0.0,0.998
Corey Davis,2021,4,1.094,1,3,0.29523549922053755,0.0,0.093
Corey Davis,2022,3,0.915,0,2,0.29626845934051105,0.0,0.91
Courtland Sutton,2018,8,1.826,1,3,0.39207652314312325,0.0,0.0
Courtland Sutton,2019,13,4.419,3,6,0.5616395641334396,0.0,0.001
Courtland Sutton,2021,6,1.998,1,2,0.044676615807377355,0.0,0.0
Courtland Sutton,2022,9,0.226,0,2,0.4346538852926545,0.0,0.0
Courtland Sutton,2023,8,2.597,0,4,0.6859963556754513,0.0,0.054
Courtland Sutton,2024,13,5.016,2,8,0.9978697309769448,0.0,0.303
Curtis Samuel,2017,2,0.0,0,0,0.0,0.0,0.0
Curtis Samuel,2018,4,0.827,0,2,0.5030616264435204,0.0,0.055
Curtis Samuel,2019,10,2.854,1,5,0.6250471982178626,0.0,0.001
Curtis Samuel,2020,10,4.235,3,6,0.6178794380783358,0.0,0.334
Curtis Samuel,2022,7,0.204,0,1,0.4029689814365369,0.0,0.0
Curtis Samuel,2023,8,2.766,1,4,0.6443942892360236,0.0,0.106
Curtis Samuel,2024,3,0.953,0,1,0.21163884331568247,0.0,0.953
D.J. Chark,2018,3,0.0,0,0,0.0,0.0,0.0
D.J. Chark,2019,12,2.828,2,4,0.38783501646963225,0.0,0.0
D.J. Chark,2020,9,1.489,1,2,0.4998789853554557,0.0,0.0
D.J. Chark,2022,4,1.289,0,3,0.5074238859178783,0.0,0.267
D.J. Chark,2023,5,1.084,1,2,0.27738781516137295,0.0,0.084
D.J. Moore,2018,10,2.035,1,4,0.22754120505965506,0.0,0.0
D.J. Moore,2019,11,3.16,1,6,0.8593020423576334,0.0,0.044
D.J. Moore,2020,10,4.832,3,6,0.44919483523299775,0.0,0.819
D.J. Moore,2021,11,1.288,1,4,0.5010548872129679,0.0,0.0
D.J. Moore,2022,12,5.594,4,6,0.5702315319236564,0.0,0.636
D.J. Moore,2023,15,6.233,5,8,0.4389886103306098,0.0,0.238
D.J. Moore,2024,13,3.687,2,5,0.48890796679947846,0.0,0.0
DJ Turner,2024,1,0.0,0,0,0.0,0.0,1.0
DK Metcalf,2019,9,2.747,1,4,0.45933756650202257,0.0,0.008
DK Metcalf,2020,11,5.542,3,8,0.7695687103826402,0.0,0.94
DK Metcalf,2021,10,4.805,3,7,0.6204635363983931,0.0,0.708
DK Metcalf,2022,13,4.057,2,6,0.7998443598600918,0.0,0.02
DK Metcalf,2023,12,3.245,1,6,0.9386026848459362,0.0,0.014
DK Metcalf,2024,10,1.53,0,4,0.6124540799113024,0.0,0.0
DaeSean Hamilton,2018,4,0.909,0,2,0.314195798826146,0.0,0.008
DaeSean Hamilton,2019,4,0.991,0,1,0.09444045743218316,0.0,0.0
DaeSean Hamilton,2020,3,1.011,1,2,0.10430244484191155,0.0,1.0
Damiere Byrd,2017,1,0.0,0,0,0.0,0.0,1.0
Damiere Byrd,2019,3,0.998,0,2,0.35776528618634873,0.0,0.935
Damiere Byrd,2020,4,1.0,1,1,0.0,0.0,0.0
Damiere Byrd,2021,3,0.0,0,0,0.0,0.0,0.0
Damiere Byrd,2022,1,0.998,0,1,0.044676615807377355,0.998,1.0
Danny Amendola,2017,5,0.381,0,2,0.4876873998782416,0.0,0.001
Danny Amendola,2018,7,1.021,0,2,0.15671311368229526,0.0,0.0
Danny Amendola,2019,8,0.349,0,2,0.5396285759668403,0.0,0.0
Danny Amendola,2020,4,0.001,0,1,0.03160696125855822,0.0,0.0
Danny Amendola,2021,4,1.0,1,1,0.0,0.0,0.0
Dante Pettis,2018,6,2.117,1,3,0.3275835771219308,0.0,0.119
Dante Pettis,2019,1,0.0,0,0,0.0,0.0,1.0
Dante Pettis,2022,4,1.002,1,2,0.044676615807377355,0.0,0.002
Dante Pettis,2024,3,0.006,0,1,0.07722693830523131,0.0,0.006
Darius Slayton,2019,7,3.0,3,3,0.0,0.0,1.0
Darius Slayton,2020,7,0.878,0,2,0.3702917768463134,0.0,0.0
Darius Slayton,2021,2,0.0,0,0,0.0,0.0,0.0
Darius Slayton,2022,7,0.519,0,2,0.5134578853226426,0.0,0.0
Darius Slayton,2023,7,3.802,2,4,0.40099376553757043,0.0,0.999
Darius Slayton,2024,6,1.145,1,2,0.352100837829165,0.0,0.0
Darnell Mooney,2020,10,1.917,1,2,0.2758822212466762,0.0,0.0
Darnell Mooney,2021,10,3.778,2,5,0.5298263866588753,0.0,0.039
Darnell Mooney,2022,7,0.086,0,2,0.2908676675053451,0.0,0.0
Darnell Mooney,2023,4,0.009,0,1,0.09444045743218316,0.0,0.0
Darnell Mooney,2024,11,3.958,2,5,0.40278530261170153,0.0,0.057
Davante Adams,2017,11,5.281,3,8,0.8099623448037568,0.0,0.849
Davante Adams,2018,12,10.175,7,12,0.7445636305917716,0.024,1.0
Davante Adams,2019,9,5.337,3,7,0.7996442959216304,0.0,0.999
Davante Adams,2020,10,8.765,7,10,0.501771860510332,0.021,1.0
Davante Adams,2021,9,4.918,2,8,1.0253175117981745,0.0,0.926
Davante Adams,2022,12,6.758,4,9,0.890750245579534,0.0,0.929
