player,season,weeks_played,avg_hits,min_hits,max_hits,std_hits,p_hit_all_weeks,p_hit_half_or_more
Chris Conley,2018,5,2.591,1,5,0.7985731024771621,0.007,0.944
Chris Conley,2019,9,7.168,2,9,1.049655181476279,0.09,0.999
Chris Conley,2020,2,1.764,0,2,0.4475533487753164,0.774,0.99
Chris Godwin,2017,4,3.977,2,4,0.16269910878674168,0.979,1.0
Chris Godwin,2018,8,5.713,3,8,0.8346442355878342,0.006,0.998
Chris Godwin,2019,11,8.049,5,11,0.961560710511822,0.007,1.0
Chris Godwin,2020,7,5.133,3,7,0.7856914152515605,0.035,1.0
Chris Godwin,2021,10,7.162,5,10,0.9239891774257966,0.002,1.0
Chris Godwin,2022,11,7.691,4,11,1.2022973841774753,0.006,0.997
Chris Godwin,2023,14,9.153,6,13,1.3044504590056305,0.0,0.979
Chris Godwin,2024,4,3.347,1,4,0.6975607500426038,0.472,0.995
Chris Hogan,2017,4,2.228,0,4,0.7496772638942708,0.001,0.838
Chris Hogan,2018,2,1.947,0,2,0.22845349636195106,0.948,0.999
Chris Hogan,2020,1,0.292,0,1,0.4546823066713725,0.292,1.0
Chris Moore,2022,6,3.81,1,6,0.8555115428794634,0.015,0.948
Chris Olave,2022,10,7.509,4,10,1.1383843814810533,0.022,0.994
Chris Olave,2023,13,6.623,4,10,0.9533472609705238,0.0,0.897
Chris Olave,2024,2,1.977,0,2,0.15643209389380427,0.978,0.999
Christian Blake,2019,1,0.958,0,1,0.20058913230780973,0.958,1.0
Christian Kirk,2018,7,4.364,1,7,1.0466632696335532,0.005,0.959
Christian Kirk,2019,10,5.045,3,8,0.9170468908403757,0.0,0.715
Christian Kirk,2020,7,4.145,2,6,0.8049689435003067,0.0,0.997
Christian Kirk,2021,9,6.219,3,9,1.1131212871920113,0.008,0.993
Christian Kirk,2022,12,7.392,4,10,1.0111063247749963,0.0,0.988
Christian Kirk,2023,8,6.456,4,8,0.9011459371267231,0.126,1.0
Christian Kirk,2024,3,1.914,0,3,0.6889150891075038,0.179,0.981
Christian Watson,2022,7,5.415,3,7,0.9740508200294273,0.133,1.0
Christian Watson,2023,4,2.29,1,4,0.5137119815616529,0.015,0.986
Christian Watson,2024,4,2.533,0,4,0.8105004626772276,0.116,0.914
Cody Latimer,2017,1,0.502,0,1,0.4999959999839998,0.502,1.0
Cody Latimer,2018,1,0.992,0,1,0.08908422980528033,0.992,1.0
Cody Latimer,2019,2,1.475,0,2,0.596133374338327,0.528,0.947
Cole Beasley,2017,5,1.555,0,4,0.740928471581434,0.0,0.467
Cole Beasley,2018,8,6.842,4,8,0.9203455872660009,0.262,1.0
Cole Beasley,2019,9,5.68,4,8,0.7011419257183242,0.0,1.0
Cole Beasley,2020,8,6.002,4,8,0.818532833794711,0.012,1.0
Cole Beasley,2021,7,3.955,2,7,1.0104330754681379,0.004,0.941
Collin Johnson,2020,2,1.985,1,2,0.12155245781143219,0.985,1.0
Cooper Kupp,2017,10,8.707,5,10,0.960807472910156,0.211,1.0
Cooper Kupp,2018,4,3.193,1,4,0.44017155746367803,0.211,0.999
Cooper Kupp,2019,9,5.468,3,8,0.8561401754385786,0.0,0.999
Cooper Kupp,2020,12,6.798,3,11,1.198831097361092,0.0,0.863
Cooper Kupp,2021,13,12.027,10,13,0.5256148780238246,0.148,1.0
Cooper Kupp,2022,6,4.212,2,6,0.6877906658279102,0.001,0.998
